Bin #,MinTemp,MaxTemp,Mean Temperature,Frequency,OrbitalRadius,StarMass,PlanetRadius,StarRadius,TransitTime,TransitDepth,OrbitalPeriod
1.0,2500.0,2661.0,2600.0,476.0,2703055507.0,1.6982760605567518e+29,5112108.0,112992975.0,3490.935785649051,0.0020469024878520575,136402.6272855961
2.0,2661.0,2765.0,2715.2727272727275,524.0,4249204121.0,2.389575914003002e+29,6602640.0,137366350.0,4485.809416842335,0.0023103326725901715,284165.7443115827
3.0,2765.0,2979.0,2886.318181818182,108.0,8298702803.0,3.232353727808002e+29,8915086.0,166614400.0,6537.704359588081,0.002863030713244962,931918.5022214759
4.0,2979.0,3083.0,3033.509433962264,118.0,7026760470.0,4.089551166707004e+29,3498808.0,195862450.0,6287.210672733046,0.0003191081207195833,594004.0788299667
5.0,3083.0,3183.0,3133.5198412698414,257.0,12357357299.0,4.6470436588430015e+29,8394006.0,214625350.0,8570.822888978963,0.001529595220231937,1723374.9778867648
6.0,3183.0,3283.0,3249.8186453022577,1403.0,14978531635.0,5.199365703043003e+29,10555243.0,233020350.0,9685.462565355456,0.0020518649431539196,2393758.0446343874
7.0,3283.0,3383.0,3323.3186900958467,2535.0,10663086640.0,5.757391487243001e+29,4697400.0,251415350.0,8378.908672093134,0.000349085256924254,1152842.4154403636
8.0,3383.0,3483.0,3432.0301334481273,2339.0,20638472569.0,6.321121011443002e+29,6269994.0,269810350.0,11938.985039459903,0.0005400289470678584,4121686.9583886145
9.0,3483.0,3583.0,3533.982084095064,2792.0,28615515011.0,6.890554275643002e+29,6246243.0,288205350.0,14382.779468612396,0.00046971418381853,7589147.707687767
10.0,3583.0,3683.0,3636.3053981509097,3495.0,16586231781.0,7.465691279843002e+29,6340827.0,306600350.0,11191.249458281778,0.00042770715544567574,2449499.74155333
11.0,3683.0,3783.0,3732.1136851136853,4810.0,31446584074.0,8.046532024043001e+29,4246337.0,324995349.9999999,15733.545200148803,0.00017071615529900208,8481243.505909625
12.0,3783.0,3883.0,3833.774675324675,4722.0,41615042242.0,8.633076508243002e+29,6067760.0,343390350.0,18462.798935242266,0.00031223430465333787,14339527.33371689
13.0,3883.0,3983.0,3930.4467780429595,6386.0,28213750125.0,9.225324732443001e+29,4075504.0,361785350.0,15493.788815452954,0.00012689972881287684,6375991.826245042
14.0,3983.0,4083.0,4032.3093086308177,4540.0,41408510865.0,9.823276696643001e+29,6975998.0,380180350.0,19114.95863820622,0.0003366924380816234,13309691.465473669
15.0,4083.0,4183.0,4133.200524246396,4724.0,49548121170.0,1.0426932400843002e+30,8694338.0,398575350.0,21277.119432046577,0.0004758303806323383,18496648.962448068
16.0,4183.0,4283.0,4234.0302151856395,9100.0,50312623379.0,1.1036291845043002e+30,7573250.0,416970349.9999999,21802.141099812437,0.0003298786728620365,18537846.792222887
17.0,4283.0,4383.0,4335.684925201381,8835.0,52535993413.0,1.1651355029243004e+30,6866930.0,435365350.0,22639.206273142463,0.00024878117691022557,19671733.449760124
18.0,4383.0,4483.0,4433.788573206139,9841.0,55589977411.0,1.2272121953443003e+30,7102527.0,453760350.0,23650.048758196866,0.0002450037312269202,21461007.944535367
19.0,4483.0,4583.0,4534.452515051466,10595.0,34669981327.0,1.2898592617643e+30,10352419.0,472155350.0,18956.47726761624,0.00048074397736322817,8142410.689509921
20.0,4583.0,4683.0,4633.567582268153,11393.0,55915664196.0,1.3530767021843002e+30,10015267.0,490550350.0,24420.59293805635,0.0004168289589703488,20678675.56002862
21.0,4683.0,4783.0,4738.248698060942,18268.0,72125866283.0,1.4168645166043003e+30,10110881.0,508945349.9999999,28120.27662406558,0.0003946714365380919,33622877.173102394
22.0,4783.0,4883.0,4834.115230539628,25930.0,47901346652.0,1.4812227050243003e+30,8349399.0,527340350.0,23223.18399143555,0.00025068504424150494,14504481.784688221
23.0,4883.0,4983.0,4933.863408600787,32387.0,101994620845.0,1.5461512674443002e+30,6769301.0,545735349.9999999,34325.09977882886,0.00015385920320813847,64364366.14446111
24.0,4983.0,5083.0,5030.568737505767,39810.0,54347345124.0,1.6116502038643007e+30,9749736.0,564130350.0,25368.82292043691,0.00029869419468767067,17899389.756806437
25.0,5083.0,5183.0,5132.748803492961,36516.0,105501943820.0,1.6777195142843006e+30,9665069.0,582525350.0,35772.7609884455,0.00027528354905818604,66111680.413636275
